A	3	1.5949231394226426
A	10	4.871274701589867
A	2	4.141293108074551
A	9	-0.2795904207129165
A	12	-2.5040051820791365
A	8	7.974645818333653
A	11	1.7935920036941915
A	1	5.33447935620313
A	7	1.1161843996109708
A	6	-2.338215346037871
A	5	8.136202468820256
A	4	3.477440690959071
AA	7	6.995887819196249
AA	11	-12.976944114046262
AA	3	-9.449855209200358
AA	1	26.430804229616694
AA	10	0.27281689245571644
AA	6	-0.8803798206444332
AA	4	-1.4319160169121967
AA	9	3.507988419717825
AA	2	-4.605621197598257
AA	8	20.615722319407194
AA	12	29.370796641454195
AA	5	-1.0216351113552773
AABA	2	4.294200823514484
AABA	3	0.3676430855850741
AABA	4	3.83372553865452
AABA	5	3.517792764866684
AABA	6	7.5616937827741575
AABA	7	7.254363099344342
AABA	8	9.538464668469576
AABA	9	3.419195484256268
AABA	10	5.4277559681282925
AABA	11	-0.7508128726340537
AABA	12	-0.35663338864735183
AABA	1	13.290483203466888
AAL	10	-1.9065574191067045
AAL	12	6.183670978156946
AAL	11	5.5393008307412135
AAL	1	-4.427644213478929
AAL	2	5.244044071055584
AAL	3	-10.172012953931068
AAL	4	0.40046682188451993
AAL	5	15.042770296853725
AAL	6	2.589195672818954
AAL	7	0.0992245240448801
AAL	8	-12.377594055706657
AAL	9	4.811300461493355
AAME	12	-8.108106714866029
AAME	11	-5.263159215615267
AAME	10	7.575757685224335
AAME	9	-1.5151500920836396
AAME	8	-7.142857142857142
AAME	7	-5.333334604899195
AAME	6	2.7397233430072983
AAME	5	-6.493506654355595
AAME	4	5.333334604899195
AAME	3	6.666666666666667
AAME	2	1.3157882353607033
AAME	1	-8.536583238382688
AAN	3	7.2098053947438085
AAN	2	-11.428567005220948
AAN	1	-3.009401554710514
AAN	12	1.6841027571822758
AAN	11	4.981911773792666
AAN	10	-16.000917408106243
AAN	9	-1.955053779516407
AAN	8	-3.6561485903843325
AAN	7	18.818993254890547
AAN	6	2.0729491022698063
AAN	5	-0.5988056903983175
AAN	4	22.871790176782902
AAOI	7	58.80436363094066
AAOI	11	12.034894739026617
AAOI	10	-36.85678270591651
AAOI	9	9.6473358271804
AAOI	8	-40.64853070009823
AAOI	12	-12.81696919407793
AAOI	1	33.160171952017706
AAOI	2	48.46426678263268
AAOI	3	19.850594140136234
AAOI	4	-7.630450229866378
AAOI	5	39.27787394210266
AAOI	6	-11.74118121680403
AAON	4	6.69578792991969
AAON	3	0.14164090124996628
AAON	2	-0.7374630936495761
AAON	1	1.799107395114249
AAON	12	0.9628674099328546
AAON	11	5.959299843397979
AAON	10	-0.4267468545298974
AAON	9	5.282441350339846
AAON	8	-3.9764425875715776
AAON	7	-8.648650710647306
AAON	6	0.2721046914859887
AAON	5	-3.4178973776173973
AAP	3	-5.374009805048026
AAP	2	-2.478358439690637
AAP	1	-3.728018981718496
AAP	11	25.077399380804955
AAP	12	0.41297710228698026
AAP	10	-17.733497019268736
AAP	9	1.1625529451672798
AAP	8	-14.160456899374147
AAP	7	-5.404950027821843
AAP	6	-14.959889753862681
AAP	5	-4.909979332826632
AAP	4	-2.309278770001367
AAPL	1	4.476966749831161
AAPL	12	-1.0640206324160602
AAPL	11	2.972021530353991
AAPL	10	9.901824308746335
AAPL	9	-6.053037336084089
AAPL	8	9.29689881007873
AAPL	7	3.6445963258111536
AAPL	6	-5.979885651716883
AAPL	5	4.216122662424253
AAPL	4	-0.03479683564363135
AAPL	3	2.7684459273522934
AAPL	2	6.40000426653515
AAT	10	-3.794639858326436
AAT	11	1.5479935882377536
AAT	12	-2.498723895293982
AAT	1	-0.2555776208448319
AAT	2	3.945188038522909
AAT	3	-4.4530731266734485
AAT	4	2.4641210832391334
AAT	5	-9.627400915421628
AAT	6	-0.6557430674013924
AAT	7	1.2970827033786707
AAT	8	-0.8058652622867821
AAT	9	-2.4049068521136188
AAV	4	-5.303028934695948
AAV	3	9.090904075341937
AAV	2	-6.97674143522819
AAV	1	-2.2900777251824938
AAV	12	-9.473680195055586
AAV	11	-15.17856998407111
AAV	10	-13.709676302930676
AAV	9	-2.325575549859904
AAV	8	-6.617651080590031
AAV	7	1.470586791583066
AAV	6	7.14285389906711
AAV	5	0.0
AAWW	4	8.108105033366703
AAWW	3	-4.065741358373947
AAWW	2	7.568590568566748
AAWW	1	2.3278385658574257
AAWW	12	-0.4244482063216203
AAWW	11	-6.401946052020303
AAWW	10	-8.7732364697084
AAWW	9	-3.092781188407971
AAWW	8	11.705692147164967
AAWW	7	8.394164877483215
AAWW	6	3.4722221170993954
AAWW	5	-15.889465493066313
AAXJ	1	6.345773175231027
AAXJ	12	1.5306822413421393
AAXJ	11	-0.4344415943024396
AAXJ	10	3.9045172055576205
AAXJ	9	-0.2899338445228372
AAXJ	8	1.1508767646655502
AAXJ	7	4.7464131522057205
AAXJ	6	0.10388794549951344
AAXJ	5	3.6324185560334827
AAXJ	4	1.2775986421122896
AAXJ	3	2.843133728885793
AAXJ	2	2.58926853163986
AAXN	11	8.03299356909645
AAXN	12	8.251636011179308
AAXN	1	1.6273377533431987
AAXN	2	2.1488298191842223
AAXN	3	-6.368115149316463
AAXN	4	9.244444105360449
AAXN	5	-2.9898980651240388
AAXN	6	2.780050411397465
AAXN	7	-2.2654995957117476
AAXN	8	-12.70607819914374
AAXN	9	4.3258193918988965
AAXN	10	0.26189203990404253
AB	10	7.261410673443644
AB	9	2.966096797779824
AB	8	-6.0120238642560935
AB	11	-3.474902053227787
AB	7	3.991599972239463
AB	6	2.826085297957819
AB	5	1.8058673833816672
