FINANCE	2010	-9.138213068373393	PJT	4606526.444553293	BAC	47617435100.0
FINANCE	2011	-41.07484427117235	LBC	1021.2500166706741	BAC	53645519700.0
FINANCE	2012	-4.861026302618407	SNFCA	506.5131307307607	BAC	49413078400.0
FINANCE	2013	-83.77414139388452	SBT	633.163717212721	BAC	30119577900.0
FINANCE	2014	-54.242831047415116	LBC	21124.999902211082	BAC	21534168200.0
FINANCE	2015	-46.06255164609225	PUB	114633.32979430756	BAC	21195105700.0
FINANCE	2016	-10.39811931927893	NTB	2633.913146597682	BAC	27290637600.0
FINANCE	2017	-40.41908998671738	LX	1199.065321228354	BAC	19795255900.0
FINANCE	2018	4.136713365443886	DHCP	609.8765411203979	BAC	11026441500.0
HEALTH CARE	2009	5.873349523480024	TTNP	8149.99999516199	PFE	14077745000.0
HEALTH CARE	2010	-66.69661044860543	ALT	4936.065852619637	PFE	13873171000.0
HEALTH CARE	2011	-17.065372179774606	VBIV	631.584300837503	PFE	12316613800.0
HEALTH CARE	2012	-1.8958442036195695	ORGS	856.521728614178	PFE	8460311700.0
HEALTH CARE	2013	-12.983052367484879	BPTH	1149.9999813735471	PFE	9211731000.0
HEALTH CARE	2014	-6.629574543739228	PTI	86566.66666666666	PFE	6577264600.0
HEALTH CARE	2015	-13.941762856909154	NK	115433.33540707843	PFE	7235682100.0
HEALTH CARE	2016	-71.85983398613959	IDXG	1000.0000074505815	PFE	7836820000.0
HEALTH CARE	2017	14.502751332824227	ALT	7553.846032608887	RAD	6886704200.0
HEALTH CARE	2018	15.118061170415976	TNDM	1410.6299018954464	NVCN	7582018100.0
MISCELLANEOUS	2009	-26.214356980017733	KGJI	1566.6667039195704	EBAY	10146300700.0
MISCELLANEOUS	2010	-32.57223898688231	NOVT	305.3639980440551	EBAY	9748440400.0
MISCELLANEOUS	2011	-46.74081991946756	LQDT	155.18673187090468	EBAY	7316138900.0
MISCELLANEOUS	2012	0.25866001576651027	WP	20319.999772012216	EBAY	6774041300.0
MISCELLANEOUS	2013	49.05856486711647	ARTX	249.000000953674	EBAY	6445216300.0
MISCELLANEOUS	2014	3.8189020139136156	OMNT	283.33333333333337	EBAY	7378587900.0
MISCELLANEOUS	2015	0.2250495214246675	SSNT	1041.6666961585474	BABA	4321934600.0
MISCELLANEOUS	2016	14.319291341322227	GRVY	224.6153904841508	BABA	3725974300.0
MISCELLANEOUS	2017	26.902444044159896	GRVY	788.9934052928311	BABA	3892314300.0
MISCELLANEOUS	2018	10.398556393167148	TRHC	184.92306440304478	BABA	3262795800.0
PUBLIC UTILITIES	2009	11.760339060480112	EMP	916.2094183062653	S	12014127300.0
PUBLIC UTILITIES	2010	-13.479942023971677	EMP	756.9105682231827	S	14099004300.0
PUBLIC UTILITIES	2011	-30.318851517202962	CLFD	93.63867695284074	S	15011336700.0
PUBLIC UTILITIES	2012	20.901702517556036	VST	295532.0473618397	S	13980623300.0
PUBLIC UTILITIES	2013	-21.89056519673478	DZSI	1036.1702913394001	S	10293283900.0
PUBLIC UTILITIES	2014	28.43021521349231	RMP	112353.83769457208	T	6222016300.0
