A         	1999-11-18	2018-08-24	       109.63646513864809%	7.51072978973389    	115.879829406738    
AA        	1970-01-02	2018-08-24	       508.32539151728577%	3.60450005531311    	117.194313049316    
AABA      	1996-04-12	2018-08-24	        4910.909201882102%	0.645833313465118   	125.03125           
AAC       	2018-01-16	2018-08-24	       4.8565072848188215%	7.78999996185303    	12.960000038147     
AAL       	2005-09-27	2018-08-24	         101.139902743005%	1.45000004768372    	63.2700004577637    
AAME      	1980-03-17	2018-08-24	      -29.870126894421368%	0.375               	15.8000001907349    
AAN       	1987-01-20	2018-08-24	         4683.26319686329%	0.481481492519379   	51.5299987792969    
AAOI      	2013-09-26	2018-08-24	       330.42167437441736%	8.07999992370605    	103.410003662109    
AAON      	1992-12-16	2018-08-24	       41348.203536198605%	0.0897707939147949  	43.2999992370605    
AAP       	2001-11-29	2018-08-24	       1084.1498505417885%	12.3299999237061    	201.240005493164    
AAPL      	1980-12-12	2018-08-24	       42004.208710642095%	0.196428567171097   	219.179992675781    
AAT       	2011-01-13	2018-08-24	        85.50587373621316%	16.4699993133545    	46.3800010681152    
AAV       	2004-03-31	2018-08-24	       -79.28176730082495%	1.87000000476837    	24.7800006866455    
AAWW      	2005-11-09	2018-08-24	       100.16128786148548%	8.98999977111816    	75.2900009155273    
AAXJ      	2008-08-15	2018-08-24	        42.58927156177122%	22.0                	83.5199966430664    
AAXN      	2001-06-07	2018-08-24	       11379.860832022418%	0.275000005960464   	76.4499969482422    
AB        	1988-04-14	2018-08-24	       1093.0864498939063%	2.40625             	94.9400024414062    
ABAC      	2010-07-20	2018-08-24	       -91.12149528024793%	1.50999999046326    	33.7200012207031    
ABB       	2001-04-06	2018-08-24	        39.29083051118489%	1.10000002384186    	33.3899993896484    
ABBV      	2013-01-02	2018-08-24	       177.33486471564564%	33.3300018310547    	125.860000610352    
ABC       	1995-04-04	2018-08-24	        2891.068845072752%	2.46875             	120.680000305176    
ABCB      	1994-05-19	2018-08-24	         846.193640249374%	3.35561490058899    	59.0499992370605    
ABCD      	2009-12-09	2018-08-24	        276.4383400580447%	0.579999983310699   	15.0                
ABDC      	2014-05-09	2018-08-24	      -59.269102745828015%	5.75                	15.5                
ABEO      	1997-07-23	2018-08-24	                  -99.088%	2.04999995231628    	3750.0              
ABEV      	1997-03-05	2018-08-24	        935.5555490799894%	0.220833331346512   	9.29599952697754    
ABG       	2002-03-21	2018-08-24	       384.56590064234604%	1.60000002384186    	96.5800018310547    
ABIL      	2014-02-05	2018-08-24	       -63.29999923706049%	0.323000013828278   	14.5500001907349    
ABIO      	1997-08-08	2018-08-24	       -99.99845271446362%	0.449999988079071   	351540.0            
ABM       	1980-03-17	2018-08-24	       3167.8571289443253%	0.866666674613953   	45.1199989318848    
ABMD      	1987-07-29	2018-08-24	        6827.818159623581%	2.0                 	450.929992675781    
ABR       	2004-04-07	2018-08-24	      -41.268292869009755%	0.560000002384186   	34.4500007629395    
ABT       	1980-03-17	2018-08-24	        13080.28886071852%	0.47871071100235    	66.2600021362305    
ABTX      	2015-10-08	2018-08-24	        93.55535629592909%	14.3800001144409    	46.8499984741211    
ABUS      	2007-07-26	2018-08-24	        42.85713853208948%	1.14999997615814    	31.4799995422363    
ABX       	1985-02-04	2018-08-24	       1793.8983317174043%	0.546875            	55.9500007629395    
AC        	2007-12-27	2018-08-24	      -29.181358302759282%	24.6700000762939    	823.5               
ACAD      	2004-05-27	2018-08-24	       114.77613064142913%	0.649999976158142   	51.9900016784668    
ACBI      	2015-11-02	2018-08-24	                     25.0%	11.5500001907349    	21.6000003814697    
ACC       	2004-08-16	2018-08-24	       139.60000174386172%	14.8800001144409    	54.560001373291     
ACCO      	2005-08-17	2018-08-24	        -49.9195514738605%	0.649999976158142   	28.5799999237061    
ACER      	2006-01-27	2018-08-24	       -98.39050006866455%	5.20833349227905    	3500.0              
ACET      	1980-03-18	2018-08-24	       293.28441092784664%	0.710519850254059   	32.2000007629395    
ACGL      	1995-09-14	2018-08-24	       1207.4353003235904%	1.22222220897675    	34.2000007629395    
ACGLO     	2017-08-21	2018-08-24	       -1.040417091889657%	23.6700000762939    	25.9899997711182    
ACGLP     	2016-09-23	2018-08-24	      -3.7319434282843273%	20.2000007629395    	25.25               
ACH       	2001-12-11	2018-08-24	       124.41159809920752%	2.34249997138977    	90.9499969482422    
ACHC      	1994-03-04	2018-08-24	        66.41666094462083%	0.25                	85.620002746582     
ACHN      	2006-11-09	2018-08-24	       -80.41666661147721%	0.649999976158142   	20.0                
ACHV      	1995-10-12	2018-08-24	       -99.97759412339896%	2.67000007629395    	89100.0             
ACIA      	2016-05-13	2018-08-24	       24.038767183546536%	24.7199993133545    	128.729995727539    
ACIU      	2016-09-23	2018-08-24	       -45.91315230166798%	6.03000020980835    	19.9699993133545    
ACIW      	1995-02-24	2018-08-24	        855.3006430859164%	1.41999995708466    	28.5                
ACLS      	2000-07-11	2018-08-24	       -79.37336814621409%	0.680000007152557   	120.0               
ACM       	2007-05-10	2018-08-24	        58.86255853910508%	14.4300003051758    	40.7200012207031    
ACMR      	2017-10-26	2018-08-24	        33.53116180457887%	4.74399995803833    	15.5950002670288    
ACN       	2001-07-19	2018-08-24	        993.4739884545687%	11.3000001907349    	168.949996948242    
ACNB      	1994-04-04	2018-08-24	        67.15321984144215%	7.19999980926514    	36.0                
ACOR      	2006-02-10	2018-08-24	        330.0595315599867%	2.20000004768372    	45.4500007629395    
ACP       	2011-01-27	2018-08-24	       -26.36410185690848%	9.32999992370605    	19.8831539154053    
