A	1999-11-18	2018-08-24	109.636500	115.8798294067380	7.5107297897339
AA	1970-01-02	2018-08-24	508.325400	117.1943130493160	3.6045000553131
AABA	1996-04-12	2018-08-24	4910.909200	125.0312500000000	0.6458333134651
AAC	2018-01-16	2018-08-24	4.856500	12.9600000381470	7.7899999618530
AAL	2005-09-27	2018-08-24	101.139900	63.2700004577637	1.4500000476837
AAME	1980-03-17	2018-08-24	-29.870100	15.8000001907349	0.3750000000000
AAN	1987-01-20	2018-08-24	4683.263200	51.5299987792969	0.4814814925194
AAOI	2013-09-26	2018-08-24	330.421700	103.4100036621090	8.0799999237061
AAON	1992-12-16	2018-08-24	41348.203500	43.2999992370605	0.0897707939148
AAP	2001-11-29	2018-08-24	1084.149900	201.2400054931640	12.3299999237061
AAPL	1980-12-12	2018-08-24	42004.208700	219.1799926757810	0.1964285671711
AAT	2011-01-13	2018-08-24	85.505900	46.3800010681152	16.4699993133545
AAV	2004-03-31	2018-08-24	-79.281800	24.7800006866455	1.8700000047684
AAWW	2005-11-09	2018-08-24	100.161300	75.2900009155273	8.9899997711182
AAXJ	2008-08-15	2018-08-24	42.589300	83.5199966430664	22.0000000000000
AAXN	2001-06-07	2018-08-24	11379.860800	76.4499969482422	0.2750000059605
AB	1988-04-14	2018-08-24	1093.086400	94.9400024414062	2.4062500000000
ABAC	2010-07-20	2018-08-24	-91.121500	33.7200012207031	1.5099999904633
ABAX	1992-01-23	2018-07-31	426.984100	83.9800033569336	1.1250000000000
ABB	2001-04-06	2018-08-24	39.290800	33.3899993896484	1.1000000238419
ABBV	2013-01-02	2018-08-24	177.334900	125.8600006103520	33.3300018310547
ABC	1995-04-04	2018-08-24	2891.068800	120.6800003051760	2.4687500000000
ABCB	1994-05-19	2018-08-24	846.193600	59.0499992370605	3.3556149005890
ABCD	2009-12-09	2018-08-24	276.438300	15.0000000000000	0.5799999833107
ABDC	2014-05-09	2018-08-24	-59.269100	15.5000000000000	5.7500000000000
ABEO	1997-07-23	2018-08-24	-99.088000	3750.0000000000000	2.0499999523163
ABEV	1997-03-05	2018-08-24	935.555500	9.2959995269775	0.2208333313465
ABG	2002-03-21	2018-08-24	384.565900	96.5800018310547	1.6000000238419
ABIL	2014-02-05	2018-08-24	-63.300000	14.5500001907349	0.3230000138283
ABIO	1997-08-08	2018-08-24	-99.998500	351540.0000000000000	0.4499999880791
ABM	1980-03-17	2018-08-24	3167.857100	45.1199989318848	0.8666666746140
ABMD	1987-07-29	2018-08-24	6827.818200	450.9299926757810	2.0000000000000
ABR	2004-04-07	2018-08-24	-41.268300	34.4500007629395	0.5600000023842
ABT	1980-03-17	2018-08-24	13080.288900	66.2600021362305	0.4787107110024
ABTX	2015-10-08	2018-08-24	93.555400	46.8499984741211	14.3800001144409
ABUS	2007-07-26	2018-08-24	42.857100	31.4799995422363	1.1499999761581
ABX	1985-02-04	2018-08-24	1793.898300	55.9500007629395	0.5468750000000
AC	2007-12-27	2018-08-24	-29.181400	823.5000000000000	24.6700000762939
ACAD	2004-05-27	2018-08-24	114.776100	51.9900016784668	0.6499999761581
ACBI	2015-11-02	2018-08-24	25.000000	21.6000003814697	11.5500001907349
ACC	2004-08-16	2018-08-24	139.600000	54.5600013732910	14.8800001144409
ACCO	2005-08-17	2018-08-24	-49.919600	28.5799999237061	0.6499999761581
ACER	2006-01-27	2018-08-24	-98.390500	3500.0000000000000	5.2083334922791
ACET	1980-03-18	2018-08-24	293.284400	32.2000007629395	0.7105198502541
ACGL	1995-09-14	2018-08-24	1207.435300	34.2000007629395	1.2222222089768
ACGLO	2017-08-21	2018-08-24	-1.040400	25.9899997711182	23.6700000762939
ACGLP	2016-09-23	2018-08-24	-3.731900	25.2500000000000	20.2000007629395
ACH	2001-12-11	2018-08-24	124.411600	90.9499969482422	2.3424999713898
ACHC	1994-03-04	2018-08-24	66.416700	85.6200027465820	0.2500000000000
ACHN	2006-11-09	2018-08-24	-80.416700	20.0000000000000	0.6499999761581
ACHV	1995-10-12	2018-08-24	-99.977600	89100.0000000000000	2.6700000762940
ACIA	2016-05-13	2018-08-24	24.038800	128.7299957275390	24.7199993133545
ACIU	2016-09-23	2018-08-24	-45.913200	19.9699993133545	6.0300002098084
ACIW	1995-02-24	2018-08-24	855.300600	28.5000000000000	1.4199999570847
ACLS	2000-07-11	2018-08-24	-79.373400	120.0000000000000	0.6800000071526
ACM	2007-05-10	2018-08-24	58.862600	40.7200012207031	14.4300003051758
ACMR	2017-10-26	2018-08-24	33.531200	15.5950002670288	4.7439999580383
ACN	2001-07-19	2018-08-24	993.474000	168.9499969482420	11.3000001907349
ACNB	1994-04-04	2018-08-24	67.153200	36.0000000000000	7.1999998092651
ACOR	2006-02-10	2018-08-24	330.059500	45.4500007629395	2.2000000476837
ACP	2011-01-27	2018-08-24	-26.364100	19.8831539154053	9.3299999237061
ACRE	2012-04-27	2018-08-24	-19.360300	18.0699996948242	8.9099998474121
ACRS	2015-10-07	2018-08-24	39.819000	33.8800010681152	10.9899997711182
ACRX	2011-02-11	2018-08-24	-36.263700	13.6400003433228	1.5499999523163
ACSF	2014-01-16	2018-08-24	-8.445400	14.7299995422363	7.8600001335144
ACST	2012-02-14	2018-08-24	-96.969700	688.9000244140620	0.4300000071526
ACT	2017-12-13	2018-08-24	4.680200	29.5000000000000	24.2299995422363
ACTG	2002-12-16	2018-08-24	108.108100	47.2400016784668	0.9599999785423
ACV	2018-01-16	2018-08-24	9.127000	24.9899997711182	20.3400001525879
